Input,BioGro #,Licensee,Type,Category,Sub Type
Biomin® Copper,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Copper (SKU# 1011377),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Iron,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Iron,3844.0,"Roots, Shoots and Fruits Ltd",Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Iron,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
"Biomin® Iron (SKU# 1011379, 1011376)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Magnesium,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Magnesium,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Magnesium,3844.0,"Roots, Shoots and Fruits Ltd",Soil & Plant Nutrition,Mineral Fertiliser,
"Biomin® Magnesium (SKU# 1011382, 1011381)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Manganese,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Manganese,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Manganese,3844.0,"Roots, Shoots and Fruits Ltd",Soil & Plant Nutrition,Mineral Fertiliser,
"Biomin® Manganese (SKU# 1011231, 1011232)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Molybdenum,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Molybdenum,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Molybdenum,3844.0,"Roots, Shoots and Fruits Ltd",Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® N Powder Nitrogen,3844.0,"Roots, Shoots and Fruits Ltd",Soil & Plant Nutrition,Plant Extract / Lysate,
Biomin® Zinc,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Zinc,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Zinc,3844.0,"Roots, Shoots and Fruits Ltd",Soil & Plant Nutrition,Mineral Fertiliser,
"Biomin® Zinc (SKU# 1011229, 1011230)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
BioNeem,4547.0,Grosafe Chemicals Ltd,Crop Management,Insecticide,
BioPhos,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Biophos,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Biophos,5136.0,Remediation NZ Ltd TA Revital Fertilisers,Soil & Plant Nutrition,Mineral Fertiliser,
Biophos,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
BioPhos,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
BI-OPL (Biodegradable Mulch Film),15.0,Common Property,Crop Management,Herbicide,
BioPower Fertiliser (Organic) / OceanFert,4547.0,Grosafe Chemicals Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
BioPower Liquid Seaweed Extract,4547.0,Grosafe Chemicals Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
BioPower Seaweed,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
BioPower Seaweed,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
BioPower Seaweed,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
BioPower® Seaweed,4547.0,Grosafe Chemicals Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Bio-Repel,3844.0,"Roots, Shoots and Fruits Ltd",Crop Management,Pesticide,
BioRescue,5743.0,Probiotic Revolution Ltd,Livestock Feed / Supplement,,
BioRich 50:50,4776.0,BioRich Ltd,Soil & Plant Nutrition,Compost,
BioRich 50:50,4776.0,BioRich Ltd,Soil & Plant Nutrition,Compost,
BioRich Compost,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Compost,
"BioRich Compost (SKU# 1019414, 1019744)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Compost,
BioRumen DFM Concentrate,5743.0,Probiotic Revolution Ltd,Livestock Feed / Supplement,,
Biosea Animal Tonic,202.0,P T Enterprises Ltd TA Biosea,Livestock Feed / Supplement,Supplement,Mineral
Biosea Blue,202.0,P T Enterprises Ltd TA Biosea,Soil & Plant Nutrition,Fish Fertiliser,
Biosea Liquid Seaweed,202.0,P T Enterprises Ltd TA Biosea,Soil & Plant Nutrition,Seaweed Fertiliser,
Biosea Mussel Meal,202.0,P T Enterprises Ltd TA Biosea,Soil & Plant Nutrition,Seaweed Fertiliser,
Biosea Omega+ Conditioner,202.0,P T Enterprises Ltd TA Biosea,Livestock Treatment,Remedies,Fish Oil preparations
Biosea Omega+ Dairy Oil,202.0,P T Enterprises Ltd TA Biosea,Livestock Feed / Supplement,Feed,Other
Biosea Omega+ Horticultural Oil,202.0,P T Enterprises Ltd TA Biosea,Crop Management,Adjuvant,
Biosea Organic Fertiliser,202.0,P T Enterprises Ltd TA Biosea,Soil & Plant Nutrition,Fish Fertiliser,
Bioshield Granules,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Pesticide,
Bioshield Granules,4436.0,Biostart Ltd,Crop Management,Pesticide,
BioShield Grass Grub Liquid,4436.0,Biostart Ltd,Crop Management,Pesticide,
BioShield Grass Grub Liquid,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Pesticide,
Bioshield Grass Grub Liquid (SKU# 1044004),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Insecticide,
Biospray Concentrate,5743.0,Probiotic Revolution Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
BioSpread,4547.0,Grosafe Chemicals Ltd,Crop Management,Adjuvant,
Biostart N,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Microorganisms,Biostimulant
Biostart N,4436.0,Biostart Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
Biostart N (SKU# 1020042),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Microorganisms,
BioTreat Humate,5256.0,Filmchem Ltd,Soil & Plant Nutrition,Humate,
Bioweed Organic Herbicide Concentrate,2629.0,GreenPRO Solutions Pty Ltd,Crop Management,Herbicide,
Bioweed Organic Weedkiller Ready To Use,2629.0,GreenPRO Solutions Pty Ltd,Crop Management,Herbicide,
Biox (SKU# 1018690),4472.0,Farmlands Co-Operative Society Ltd,Facility Management,Cleaning,
Biozest,5943.0,Zest Biotech Ltd,Crop Management,Elicitor,
Bio-Zyme Cleaner,4839.0,Bio-Zyme NZ Ltd,Facility Management,Cleaning,
Bio-Zyme Industrial,4839.0,Bio-Zyme NZ Ltd,Facility Management,Cleaning,
Bio-Zyme Multi-purpose,4839.0,Bio-Zyme NZ Ltd,Facility Management,Cleaning,
Bird Scare,2753.0,BdMax Ltd,Crop Management,Homeopathic Preparation,
"Bird Scare (SKU# 1017001, 1017002)",4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Homeopathic Preparation,
Bison / Anax,5774.0,Liquid Fertiliser Pty,Soil & Plant Nutrition,Microorganisms,Biostimulant
Black PF,5682.0,Enartis Pacific Pty Ltd,Clarification / Fining,Mineral,
Black Strap Molasses,4948.0,Farmers Industries Ltd,Livestock Treatment,,
"Black Strap Molasses (SKU# 1014331, 1014332)",4472.0,Farmlands Co-Operative Society Ltd,Livestock Feed / Supplement,Molasses,
Blast Off (SKU# 1035515),4472.0,Farmlands Co-Operative Society Ltd,Facility Management,Cleaning,
Blood & Bone,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Animal Derived Fertiliser,
Bloom 200c,5005.0,Homeopathic Farm Services Ltd,Crop Management,Pest control,
Blossom Bless,2925.0,Agrinova NZ Ltd TA Gro-Chem,Crop Management,Pesticide,
Blossom Bless,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Blossom Bless (SKU# 1007709),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Pesticide,Microbiological Preparation
Blossom Bless BG (Pantotea agglomerans),2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Pesticide,Microbiological Preparation
Blowfly nosode 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Boa / Sailor,5774.0,Liquid Fertiliser Pty,Soil & Plant Nutrition,Microorganisms,Biostimulant
Borate Hydroboracite,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Borate Hydroboracite,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Borate Hydroboracite,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Borax,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Borax,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Borax,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
"Borax 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Born in New Zealand Mould Removal,5421.0,Nuron Organics Ltd,Facility Management,Cleaning,Other
Boron Powder,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Borozinc,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Borozinc,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Borozinc,2594.0,De Sangosse New Zealand Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Botector,4027.0,Nufarm NZ Ltd,Crop Management,Fungicide,
Botector,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Botector (SKU#1049794),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Pesticide,
Botry-Zen,4405.0,Botry-Zen (2010) Ltd,Crop Management,Pesticide,
Botry-Zen WP,4405.0,Botry-Zen (2010) Ltd,Crop Management,Pesticide,
Bovine Boost,5743.0,Probiotic Revolution Ltd,Livestock Feed / Supplement,,
Bovine Immunomax,5743.0,Probiotic Revolution Ltd,Livestock Feed / Supplement,,
Bovine Nasal Catarrh 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Bovine rhinotracheitis 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Bovine Semen,5262.0,Livestock Improvement Corp. (LIC),Livestock Treatment,,
Brimstone,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Brimstone,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Brimstone,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Brimstone 90 (Sulphur Bentonite),4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Brimstone 90 (Sulphur Bentonite),4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Brimstone 90 (Sulphur Bentonite),4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Brimstone Sulphur,4969.0,Fernhill Limeworks Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Broccoli Belstar F1 (Code- 3092),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Broccoli de Cicco (Code - 3095),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Broccoli Raab (Code - 4070 Component),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Broccoli Raab Spring Rapini (Code - 3100),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Brucellosis 200c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Brussels Sprouts Igor F1 (Code - 3105),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
"Bryonia 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
"Bufo 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Bundaberg Sugar,4432.0,Horticentre Ltd,Crop Management,Adjuvant,
BVD nosode 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
C3,4948.0,Farmers Industries Ltd,Facility Management,Cleaning,
"C3 (SKU# 1014326, 1002534, 1009456)",4472.0,Farmlands Co-Operative Society Ltd,Facility Management,Cleaning,
Cabbage Green Express (Code - 3120),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Cabbage Red Express (Code - 3130),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
CAE nosode 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Cal Mag 87,5606.0,Interchem Agencies Ltd,Livestock Feed / Supplement,Supplement,
Cal/Mag 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
"Calc carb 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Calc fluor 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
"Calc phos 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Calci-Life Base Mix,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Calci-Life Base Mix,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Calci-Life Base Mix,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Calcimate,5082.0,Fertco 2016 Ltd,Livestock Feed / Supplement,Supplement,
Calcimate,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Calcimate,6213.0,Agvance Nutrition Ltd,Soil & Plant Nutrition,,
Calcimate,6213.0,Agvance Nutrition Ltd,Soil & Plant Nutrition,,
Calcimate,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
Calcimate,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
Calcimate,5622.0,Total Fert Ltd,Livestock Feed / Supplement,Supplement,Mineral
Calcimate,4928.0,Graymont (NZ) Ltd,Livestock Feed / Supplement,Supplement,
Calcimate,4928.0,Graymont (NZ) Ltd,Soil & Plant Nutrition,,
Calcimate,4928.0,Graymont (NZ) Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Calcimate,4928.0,Graymont (NZ) Ltd,Livestock Feed / Supplement,Supplement,
Calcimate (SKU# 1001474),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Calcined Magnesite – dusting grade (not be applied to the soil),4993.0,Livestock Supplies NZ Ltd,Livestock Feed / Supplement,Supplement,
Calcium Carbonicum D 6,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
CalciZest,5146.0,Functional Fertiliser Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Calendula 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Calendula C 30,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Calf Start,5332.0,True Health Ltd,Livestock Treatment,Herbal remedies,
Calf Xtreme,5743.0,Probiotic Revolution Ltd,Livestock Feed / Supplement,,
Calf Xtreme Plus,5743.0,Probiotic Revolution Ltd,Livestock Feed / Supplement,,
Camphora C 30,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Campylobacter nosode 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Cantharis 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Cantharis C 30,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Carafe,4828.0,Orion Agriscience Ltd,Crop Management,Fungicide,
Carbo veg 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Carbo Vegetabilis C 30,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Carbon Dioxide Food Grade 214,5589.0,BOC Ltd,Sparging / Creating inert environment,,
Carbon New Vale,4969.0,Fernhill Limeworks Ltd,Soil & Plant Nutrition,Humate,
Carcinosinum C 30,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Carrot Berlicum (Code - 3140),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Carrot Tendersweet (Code 3155),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Casei Plus,5587.0,Laffort New Zealand Ltd,Clarification / Fining,,
Cauliflower Romanesco Early (Code - 3158),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Cauliflower Snowball (Code - 3160),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Caulophyllum 200c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
"Caustic 50% (SKU# 1019392, 1019391)",4472.0,Farmlands Co-Operative Society Ltd,Facility Management,Cleaning,
Caustic Potash,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
Caustic Soda,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
"Causticum 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
CEG Tincture,5332.0,True Health Ltd,Livestock Treatment,Herbal remedies,
Celery Giant Pascal (Code – 3165),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Chamomilla 200c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Champ WG,4027.0,Nufarm NZ Ltd,Crop Management,Fungicide,
Champ WG,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Fungicide,
ChampION++,4027.0,Nufarm NZ Ltd,Crop Management,Fungicide,
ChampION++ (SKU# 1021287),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Fungicide,
Chelidonium 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Chelidonium Alfalfa Minerals Combo,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Chelsea Organic Sugar,4522.0,New Zealand Sugar Co. Ltd,Chaptalisation / Enrichment,,
Chelsea Organic Sugar (SKU# 107091),4472.0,Farmlands Co-Operative Society Ltd,Chaptalisation / Enrichment,,
Cherry Ground (Code - 3260),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Chicken Fertiliser,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Compost,
Chicken mite nosode 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Chickpea (Code - 4065 Component),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Chicory Palla Rossa Early (Code - 3175),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Chicory Sugarloaf (Code - 3180),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
ChillSafe C25,6251.0,Post Harvest Solutions Limited,Facility Management,,
ChillSafe C50,6251.0,Post Harvest Solutions Limited,Facility Management,,
China C 200,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
"China off 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Chlorozolv,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
Cholozolv (SKU# 1044124),4472.0,Farmlands Co-Operative Society Ltd,Facility Management,,
Cimicifuga C 30,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Cina 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Cineraria 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
CIP450C (SKU# 1020010),4472.0,Farmlands Co-Operative Society Ltd,Facility Management,Cleaning,
Citric Acid,4472.0,Farmlands Co-Operative Society Ltd,Acid Regulation,,
Citric Acid,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
Citric Acid,4885.0,IXOM Operations Pty Ltd,Crop Management,Adjuvant,
Citric Acid,4432.0,Horticentre Ltd,Facility Management,Cleaning,Other
Citric Acid,2933.0,PGG Wrightson (Fruitfed Supplies),Acid Regulation,,
Citric Acid,2933.0,PGG Wrightson (Fruitfed Supplies),Facility Management,Cleaning,
Citric Acid,4038.0,BioAg Ltd,Facility Management,Cleaning,Other
Citric Acid,4038.0,BioAg Ltd,Crop Management,Adjuvant,
"Citric Acid (SKU# 1011599, 1018693)",4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Adjuvant,
"Citric Acid (SKU# 1011599, 1018693)",4472.0,Farmlands Co-Operative Society Ltd,Facility Management,Cleaning,Other
Citrogum,5682.0,Enartis Pacific Pty Ltd,Clarification / Fining,Plant,Gelatine
Citrostab rH,5682.0,Enartis Pacific Pty Ltd,Acid Regulation,Acid Addition,Ascorbic acid
Clairbouteille P,5682.0,Enartis Pacific Pty Ltd,Clarification / Fining,Plant,Gelatine
Clarity,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Clarity,4908.0,BASF New Zealand Ltd,Crop Management,Fungicide,Microbiological Preparation
Clarity (SKU# 1008442),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Pesticide,
Cleanskin,2933.0,PGG Wrightson (Fruitfed Supplies),Facility Management,Cleaning,
Cleanslip Pro,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
ClearUp BIO,5586.0,Kauri NZ Ltd,Enzyme,Other,
Clenza,4429.0,UPL New Zealand Ltd,Crop Management,Adjuvant,
Clenza,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Adjuvant,
Clenza,4432.0,Horticentre Ltd,Crop Management,Adjuvant,
CLO2UT,5099.0,Golden Bay Dolomite,Facility Management,Cleaning,
Clostridium 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Clover King (RPR),5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Clover King (RPR),5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Clover King (RPR),5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Clover King Sechura RPR,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,RPR based
Cobalt Sulphate,4841.0,Osflo Fertiliser Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Cobalt Sulphate,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Cobalt Sulphate,5115.0,Mainland Minerals Southern Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Cobalt Sulphate,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Cobalt Sulphate,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Cobalt Sulphate,5029.0,Flynn Holdings Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Cobalt sulphate,4969.0,Fernhill Limeworks Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Cobalt Sulphate,6213.0,Agvance Nutrition Ltd,Soil & Plant Nutrition,,
Cobalt Sulphate,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
Cobalt Sulphate,5113.0,Soil Health Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Cobalt Sulphate,5936.0,Zenith Ltd,Soil & Plant Nutrition,,
Cobalt Sulphate,4993.0,Livestock Supplies NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Cobalt Sulphate,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
